id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
572796;1271729;05/01/2024;sexta-feira;17:40:00;RS;290;91;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;1020051;Automóvel;I/CHEVROLET AGILE LTZ;2012;Passageiro;Ileso;25;Feminino;1;0;0;0;-29,96955555;-51,16954207;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
572796;1271728;05/01/2024;sexta-feira;17:40:00;RS;290;91;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;1020051;Automóvel;I/CHEVROLET AGILE LTZ;2012;Condutor;Ileso;17;Feminino;1;0;0;0;-29,96955555;-51,16954207;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
572796;1271730;05/01/2024;sexta-feira;17:40:00;RS;290;91;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;1020052;Utilitário;JEEP/COMPASS LONGITUDE D;2016;Condutor;Ileso;34;Masculino;1;0;0;0;-29,96955555;-51,16954207;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
572796;1271731;05/01/2024;sexta-feira;17:40:00;RS;290;91;PORTO ALEGRE;Sim;Manobra de mudança de faixa;1;Colisão lateral mesmo sentido;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;1020052;Utilitário;JEEP/COMPASS LONGITUDE D;2016;Passageiro;Ileso;27;Feminino;1;0;0;0;-29,96955555;-51,16954207;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
572806;1271756;05/01/2024;sexta-feira;18:30:00;RS;290;102;PORTO ALEGRE;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;1020065;Caminhonete;I/FORD RANGER XLT 12A;2011;Condutor;Ileso;56;Masculino;1;0;0;0;-29,987228;-51,25613;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
572806;1271759;05/01/2024;sexta-feira;18:30:00;RS;290;102;PORTO ALEGRE;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;1020066;Automóvel;RENAULT/SANDERO EXP16SCE;2017;Condutor;Lesões Leves;47;Feminino;0;1;0;0;-29,987228;-51,25613;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
572806;1271761;05/01/2024;sexta-feira;18:30:00;RS;290;102;PORTO ALEGRE;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;1020067;Automóvel;CHEV/ONIX 10MT LT2;2022;Condutor;Ileso;60;Masculino;1;0;0;0;-29,987228;-51,25613;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
572806;1271766;05/01/2024;sexta-feira;18:30:00;RS;290;102;PORTO ALEGRE;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;1020067;Automóvel;CHEV/ONIX 10MT LT2;2022;Passageiro;Lesões Leves;29;Feminino;0;1;0;0;-29,987228;-51,25613;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
572806;1271765;05/01/2024;sexta-feira;18:30:00;RS;290;102;PORTO ALEGRE;Sim;Ausência de reação do condutor;1;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;1020070;Automóvel;RENAULT/LOGAN AUTH 1016V;2016;Condutor;Ileso;53;Masculino;1;0;0;0;-29,987228;-51,25613;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
573217;1272837;03/01/2024;quarta-feira;17:10:00;RS;448;22;PORTO ALEGRE;Sim;Ausência de reação do condutor;2;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Sim;1020779;Motocicleta;JTA-SUZUKI/GSR150I;2015;Condutor;Lesões Leves;36;Masculino;0;1;0;0;-29,972212;-51,199139;SPRF-RS;DEL01-RS;UOP01-DEL01-RS
